hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3
59,R134a,1,-40921506590569603072.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
60,R134a,0,83167934228818411520.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
61,R134a,1,-150921479181587152896.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
62,R134a,0,233163675549470523392.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
63,R134a,1,-256923210406590873600.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
64,R134a,1,-29574479609397694464.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
65,R134a,0,1337916443032049156096.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
66,R134a,1,-5475956208864271007744.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
67,R134a,0,16483870931677901488128.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
68,R134a,1,-43954708690550017490944.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
69,R134a,0,109029117343275006558208.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
70,R134a,1,-250025926197099689410560.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
71,R134a,0,538984777681409461452800.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
72,R134a,1,-1088495571290756516675584.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
73,R134a,0,2020874072163111688732672.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
74,R134a,1,-3285124594148047453159424.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
75,R134a,0,3986885129165447844855808.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
76,R134a,1,-356721022600759285383168.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
77,R134a,1,-19804964640541490580291584.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
78,R134a,0,89629130423113858561343488.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
79,R134a,1,-297853675795521500746874880.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
80,R134a,0,867653088855713192230256640.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
81,R134a,1,-2268540982129524376464261120.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
82,R134a,0,5483171189820036295149223936.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
83,R134a,1,-12331534676512485400060624896.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
84,R134a,0,25712083142521105115846279168.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
85,R134a,1,-49070320798215363556592844800.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
86,R134a,0,83002550440456700303088025600.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
87,R134a,1,-113867621288882733272358977536.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
88,R134a,0,82225370463465727543323131904.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
89,R134a,0,196202377460175300257153810432.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
