step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
721,1012995939540574351705899488611200446838404888938195407802987209480181296306897211337378275869103169154350186257374703519091164579178096171029018329718191506663937787550418111329788405840928836483257305378918895888160972353050112693572862454358233866678829056.0000,1012995939540574351705899488611200446838404888938195407802987209480181296306897211337378275869103169154350186257374703519091164579178096171029018329718191506663937787550418111329788405840928836483257305378918895888160972353050112693572862454358233866678829056.0000,8.0000,110.9684,13.8710,-8267154421278063456180604219166365573548147727779287894239411379679394150612454879176747316665779010048184312847696873600626488722412607904980739547741020434457002112548636797522855210129988063078407693414883958688863806003986967786377341815602418015908397056.0000,FB,30.0000,1,142.1600,0.3000,110.4684,0.3000,31.6916,11.5979,1191.3267,19.7977
722,-2311011949317770645444146424291958359868207027923325811859131687052921703337276046765991613634716495456399123635392720633971633791284742804398150101210781366359368324686262157950837228982493399347807402515358348372493247358102770217501519259330663802942259200.0000,-2311011949317770645444146424291958359868207027923325811859131687052921703337276046765991613634716495456399123635392720633971633791284742804398150101210781366359368324686262157950837228982493399347807402515358348372493247358102770217501519259330663802942259200.0000,0.0000,0.0000,0.0000,18860162412357938171202882696948269150432243326542105085180619867637185092890725035866222537967370882236444099892761851432773869369505836382050740588585105068365803703969336827240550924394591997934480366012443355297957138564125647129689449656815747668111261696.0000,CP,30.0000,1,142.5600,0.3000,0.0000,0.0000,142.8600,11.6192,1195.2863,19.9001
723,5272763510489014997041997939085700962586353081174666600557708082934103686092992832884566459975873180541331638141476943251229111013602015278184599038374123817541664701114137844123152073773076124143406781504245374340350398355659354433628188060110711781807095808.0000,5272763510489014997041997939085700962586353081174666600557708082934103686092992832884566459975873180541331638141476943251229111013602015278184599038374123817541664701114137844123152073773076124143406781504245374340350398355659354433628188060110711781807095808.0000,8.0000,110.9684,13.8710,-43041340116101978923912403834054122680189558922371702603075203950208135499115814507232837218051073316170758410883936395195943296563263585621916549627251576560162420102998695915157079109621606485250513422276214074642667032566817616165808401909757673373467410432.0000,FB,30.0000,1,142.1600,0.3000,110.4684,0.3000,31.6916,11.5979,1191.3267,19.7977
724,-12030596035814413606690893624280140120371986163343254620238324929952530297299273976734852245102232978759259158787661304675739673096041813083766308581233258826027777395090078050096842142026030512308310356850016910451896466554153115510940943082326112808957116416.0000,-12030596035814413606690893624280140120371986163343254620238324929952530297299273976734852245102232978759259158787661304675739673096041813083766308581233258826027777395090078050096842142026030512308310356850016910451896466554153115510940943082326112808957116416.0000,0.0000,0.0000,0.0000,98253307695943677473354843822105100293463578769854958969998699523482225999164488029159773676956034320655612760806324038630522371993777171928270813309836658900800285462294217454654469420835871996705886850861703887265269446056328373927380947018909385732225236992.0000,CP,30.0000,1,140.9200,0.3000,0.0000,0.0000,141.2200,11.5317,1179.0898,19.4827
725,27427103577832131803499255592746911159174423612104772222919340948266880218028572989255523575241494614802152018177139539796148958165924595282850954727758787793979205981709217354553199908999898098269244010033610778586891812029608309904772559468960716447545294848.0000,27427103577832131803499255592746911159174423612104772222919340948266880218028572989255523575241494614802152018177139539796148958165924595282850954727758787793979205981709217354553199908999898098269244010033610778586891812029608309904772559468960716447545294848.0000,8.0000,109.3559,13.6695,-224144665579218555150722243910647084798474087498734441942541642521324738043780943825105604345328950718689183007805931729710595679602544051351223718692865215664269284632967879213503385207103885897288837743438689723055661606981953950199601316172331237781698248704.0000,FB,30.0000,1,139.0000,0.3000,108.8559,0.3000,30.1441,11.4293,1160.2554,19.0012
726,-61748498462311197565800503424598342448013679245312746286774349762504191666414654624211624152340320834734741562366194283224449521066270555931655651011519015125757673129391810095361282079971415014876115069428949079351790113416383740393767439609580112511735169024.0000,-61748498462311197565800503424598342448013679245312746286774349762504191666414654624211624152340320834734741562366194283224449521066270555931655651011519015125757673129391810095361282079971415014876115069428949079351790113416383740393767439609580112511735169024.0000,0.0000,0.0000,0.0000,504268763177617598251519208735585882706584680213386351958212822014381854868469362325402696026068187024138886812988508213369863646116523966273615710601186229090792033885987637070631354429722104210052863669241749988863249775595398858531716454172063977389202341888.0000,CP,30.0000,1,136.5200,3.3000,0.0000,0.0000,139.8200,11.4571,1165.3428,19.1308
727,140293765315004623388474108730708815034555118105608284416578313332885303786755884028251674549173117062393379506500046784033382067116867666227893324061004799172720863748692079625649576904703986887875567784613377904376335782089440166779150974103663550503506149376.0000,140293765315004623388474108730708815034555118105608284416578313332885303786755884028251674549173117062393379506500046784033382067116867666227893324061004799172720863748692079625649576904703986887875567784613377904376335782089440166779150974103663550503506149376.0000,8.0000,108.1312,13.5164,-1147657634299940746908945432102973811242285279897897367927357976856034083615124617516731838104996414241718867630716424696066817487552969117168666735898009895187412373037533895280117242046282037533025984879147870135169902498938476355254270361428143799080482504704.0000,FB,30.0000,1,133.6000,3.3000,104.6312,3.3000,28.9688,11.3013,1136.9059,18.4103
728,-321316307408340163484356581312792913640349142234749125436873603938168600843730299953604236229499554336647429405723815241303395852627511163496005866437295298128496068726007811367308376083299590411329192794506220840835223642002237155115407063173550670092854886400.0000,-321316307408340163484356581312792913640349142234749125436873603938168600843730299953604236229499554336647429405723815241303395852627511163496005866437295298128496068726007811367308376083299590411329192794506220840835223642002237155115407063173550670092854886400.0000,0.0000,0.0000,0.0000,2634867110012813416015185285053485069555847261469661963681108213233095678071030133495980412970583037368116512180266373144881331025355126741163775854073580447200172723283533053997798101056611282492573835327790218609720367207150378818478087926578051846394423017472.0000,CP,30.0000,1,130.4800,0.3000,0.0000,0.0000,130.7800,10.9749,1078.3402,16.9576
729,723417616249492936961093848003477360957297963498867137776474733331993828482299388830031375481062847916556710270118194057643988326258419662488867056336329757798679243531971873474199914738222918472465945780978511139865376086479606945595942439907190740963379118080.0000,723417616249492936961093848003477360957297963498867137776474733331993828482299388830031375481062847916556710270118194057643988326258419662488867056336329757798679243531971873474199914738222918472465945780978511139865376086479606945595942439907190740963379118080.0000,8.0000,103.4160,12.9270,-5933771980800059883761223295201714949393924688321145963077932570153018871491724100243344085255506281831937051579799200107700190262398164472761719490832310950752525647022349198814619457614823399548029071900686110849113295991436274484337735088636861826780230582272.0000,FB,30.0000,1,127.3600,0.3000,102.9160,0.3000,24.4440,10.8085,1049.0241,16.2465
730,-1617426716287691828217339334701941555047299520084216120481827297243322051560505742002747084187601882184568010820799479662403363681148273229736357712301879366036003471450045276209270475470336365268522207491234688677258646444171820809923962120051294249006468694016.0000,-1617426716287691828217339334701941555047299520084216120481827297243322051560505742002747084187601882184568010820799479662403363681148273229736357712301879366036003471450045276209270475470336365268522207491234688677258646444171820809923962120051294249006468694016.0000,0.0000,0.0000,0.0000,13280681821476841225134592177990761625832726059374074756441526149101184275975567032401262294192822881114040450933922279598385919322724602779700866845908927764911788976256813208446744391488803504680993404006711664935228565154049303440186933313516317330210138619904.0000,CP,30.0000,1,124.4800,0.3000,0.0000,0.0000,124.7800,10.6549,1022.2882,15.6074
731,3590812128299798727277866999513596198931108090481044506386051430649748949521848570228406952600851002460089970085950926164109821475412249215492214113660782164368615352338199518532795667434588042691425767305661306533832873560148403195701907610277529962413962559488.0000,3590812128299798727277866999513596198931108090481044506386051430649748949521848570228406952600851002460089970085950926164109821475412249215492214113660782164368615352338199518532795667434588042691425767305661306533832873560148403195701907610277529962413962559488.0000,8.0000,100.6605,12.5826,-29505119243211786033363913950072181628342305131254769860544501685463315929032611546608580522762183924352055710715953228845184328019480231067511262186987617416957393981279914569028736048253971540045539892785387583380300423690489194310185045884924762657225135095808.0000,FB,30.0000,1,121.9600,0.3000,100.1605,0.3000,21.7995,10.5205,999.1511,15.0618
732,-7900097676019538430101316052935370508308524366812781829329037552814913313280893364609699859375725058253423067920004481400509672036192171488582441634468165155678824950060196142893599344390213206633767340084060301841460860060571761646029182841610330474182143377408.0000,-7900097676019538430101316052935370508308524366812781829329037552814913313280893364609699859375725058253423067920004481400509672036192171488582441634468165155678824950060196142893599344390213206633767340084060301841460860060571761646029182841610330474182143377408.0000,0.0000,0.0000,0.0000,64947832418844774425384934914981060121540587519375079281070869513916432620122597765357933076107286363753493718509200835559613411573480199334878067974004506904288203710513613241115599294241610816579416526017385505156378705411346449524244052637088153205317469995008.0000,CP,30.0000,1,120.0400,0.3000,0.0000,0.0000,120.3400,10.4181,981.6838,14.6544
733,17205252770035237511926631258482503328892502627655726901818222557346835524401356736164978571676440565827869348793004467694603036989868579237423458217214577820854060044465432659186365954170467865917618916039418968979862772015935363490141948348566307236331403608064.0000,17205252770035237511926631258482503328892502627655726901818222557346835524401356736164978571676440565827869348793004467694603036989868579237423458217214577820854060044465432659186365954170467865917618916039418968979862772015935363490141948348566307236331403608064.0000,8.0000,99.0683,12.3835,-141478071526276252724504659912884298359896472811307687758667458171396465106856107092795621809705435535511697047787328003884893466844148423772840573831711520606664026331004868565952606379967290553002125007991746113064253055195826597190394621726866091355828215873536.0000,FB,30.0000,1,118.8400,0.3000,98.5683,0.3000,20.2717,10.3541,970.8377,14.4035
734,-37061887706843676267474524241852827321029069193959197301879192371772861804676073267474996311612237153271511075607729646967784940407070867471825836059137207485760826617723605124898104574196394026796505598457858818663624029481223570372795529959925271577551150514176.0000,-37061887706843676267474524241852827321029069193959197301879192371772861804676073267474996311612237153271511075607729646967784940407070867471825836059137207485760826617723605124898104574196394026796505598457858818663624029481223570372795529959925271577551150514176.0000,0.0000,0.0000,0.0000,304739970037056370378544537336657241252116595156449635837447070271337533356592289447821329073104844306850576906318934654386236733465047407607378542826634514816850699832693986345676579221574594388207517566050552401559037111990265888747770097616126412754944308281344.0000,CP,30.0000,1,118.4000,0.3000,0.0000,0.0000,118.7000,10.3307,966.8744,14.3122
735,78893088014775848273496228555408991553866327532066689175880218584517241364443590348765729376278355146360897144830306403413807116350959403250416864171482248794271086906722041913549386938615819747224565832527236748370628505864370864956152081670565422261540311007232.0000,78893088014775848273496228555408991553866327532066689175880218584517241364443590348765729376278355146360897144830306403413807116350959403250416864171482248794271086906722041913549386938615819747224565832527236748370628505864370864956152081670565422261540311007232.0000,8.0000,99.0479,12.3810,-648435370187562986222616070945263254158068835185635875632781177008566142116875746770940663916457527433163207237595246852038776109986383302447670552760858424649317962608911503469706215760352704935288763133907825040107451113473137411955002932405892739226306917433344.0000,FB,30.0000,1,118.8000,0.3000,98.5479,0.3000,20.2521,10.3520,970.4771,14.3952
736,-165863586637985926661632222089598052464746524229513931743140547163970105361945098510236394520648758965860675976007989716617843931677254311974599549001532523889768759841701940200896995925462483543596362092588299599333720985765753185029137444341960526073072594190336.0000,-165863586637985926661632222089598052464746524229513931743140547163970105361945098510236394520648758965860675976007989716617843931677254311974599549001532523889768759841701940200896995925462483543596362092588299599333720985765753185029137444341960526073072594190336.0000,0.0000,0.0000,0.0000,1362324884392993248840775113162122242539806796428134246802234019246047666502984590279471016735788990346240021637342709079641475382642327442030398728388057082962442652626834914652086829100731268269144664933604059166002581439780915173785405019073328372960008419147776.0000,CP,30.0000,1,120.0000,0.3000,0.0000,0.0000,120.3000,10.4160,981.3214,14.6460
737,344215123612322827859648054315771181715511878492451213151593279868109690187362967701882133650572967136565830533451833967972275288237350731883913404869584168895540334139076754555718822262642361531206808975932803699941406897348725775969277593351562946136022328541184.0000,344215123612322827859648054315771181715511878492451213151593279868109690187362967701882133650572967136565830533451833967972275288237350731883913404869584168895540334139076754555718822262642361531206808975932803699941406897348725775969277593351562946136022328541184.0000,8.0000,100.6196,12.5775,-2824647107787874348816828666149934099205215773986418078793479555066587958815519751169439294013473102998123561772790422002774703348833621699339776005327879054187449831778357199723659489796050387081865251944891265694396580746223411760217971364858396044928896047513600.0000,FB,30.0000,1,121.8800,0.3000,100.1196,0.3000,21.7604,10.5163,998.4205,15.0446
738,-704283648280678431640890543769627870848287362040885659678976482893842887456754675052529235475690724102644395385170307378901957061389426278436944591368404139685258040449879573206982976041425748611132249692031494801882185424074458756951871086004093369933141876146176.0000,-704283648280678431640890543769627870848287362040885659678976482893842887456754675052529235475690724102644395385170307378901957061389426278436944591368404139685258040449879573206982976041425748611132249692031494801882185424074458756951871086004093369933141876146176.0000,0.0000,0.0000,0.0000,5772988993512884378792410765426226457457068540424149378966261311695557732818090819597720731646984123816696615993057047512827043559753252599607209188375680311488722453254256485655840807227599447687088221694844033088183606704177852778591810822059676898434422633660416.0000,CP,30.0000,1,124.3600,0.3000,0.0000,0.0000,124.6600,10.6485,1021.1810,15.5811
739,1404347999902126399117532362133323553722654203488931727389312230973308286462245572272503750902430888813445078276641090019104679482600220780711941681947729279059129951336701154324544814466982679315223611952666105899840990410325484572414616566766197707676282448248832.0000,1404347999902126399117532362133323553722654203488931727389312230973308286462245572272503750902430888813445078276641090019104679482600220780711941681947729279059129951336701154324544814466982679315223611952666105899840990410325484572414616566766197707676282448248832.0000,8.0000,104.8857,13.1107,-11477838949045829070239342802032428419344364545878689363814119864732452917987675826808094410852683715983536510402917806723166978821425782559571126740095469409128171515960470952979052013406524921007583545242238243924613328926841051675145951798891106758006841882443776.0000,FB,30.0000,1,127.2400,3.3000,101.3857,3.3000,25.8543,10.9621,1076.0721,16.9022
740,-2784639784148370000915802485090743246264088321557808040468678699783330681166312581461901519442216453089092563620703433737524987944963871425148774460745358684445994044500798225200048684149320682185116771430146338080646914301783344644073171859665712056201917784653824.0000,-2784639784148370000915802485090743246264088321557808040468678699783330681166312581461901519442216453089092563620703433737524987944963871425148774460745358684445994044500798225200048684149320682185116771430146338080646914301783344644073171859665712056201917784653824.0000,0.0000,0.0000,0.0000,22752967388678036901469553090398049675706391598790016263384209771854860404405564716218101263670036167888598862588133902277914644028377840033733378325758220835846633585672603891045815018066630867129696631009812871681920572176258147844667312566408308831498411465244672.0000,CP,30.0000,1,130.3200,3.3000,0.0000,0.0000,133.6200,11.1264,1105.3432,17.6221
741,5452175055748771237592210729623026621251614176287364845075970604684357320485372033400294774484365453146957885055013888626770874922681004682277472113592523584311984326781593890338642209740144639121435991292049825234415438720467139926488645676871083114644636939845632.0000,5452175055748771237592210729623026621251614176287364845075970604684357320485372033400294774484365453146957885055013888626770874922681004682277472113592523584311984326781593890338642209740144639121435991292049825234415438720467139926488645676871083114644636939845632.0000,8.0000,106.5186,13.3148,-44558304261503892510494782018686949949787427095743737389243397706485188461215131552306764690790675641246830309030103695609129764843136557943457331350340232801569132317716032381539865766596344954283266822354820679295785372501647957198349345625654473345838123994578944.0000,FB,30.0000,1,133.4400,0.3000,106.0186,0.3000,27.4214,11.1328,1106.4908,17.6506
742,-10217192951153182032751368653597422508487593015810384709658656480206822401696336213172845486630728440762949251639719792567804717855431849989641590283143056443838762369328750716533641466410100270897577349772832841631771740072688037070077185717858297500028570123108352.0000,-10217192951153182032751368653597422508487593015810384709658656480206822401696336213172845486630728440762949251639719792567804717855431849989641590283143056443838762369328750716533641466410100270897577349772832841631771740072688037070077185717858297500028570123108352.0000,0.0000,0.0000,0.0000,83331736002480891687997527397818914126119887166267761561817995252803187291697391386836398319705988918690916518711801045903682891120039904566507437868806038736689972475918235075277171056468650441120094561941707145373340099203049767642635294849312359079899666623496192.0000,CP,30.0000,1,136.3200,0.3000,0.0000,0.0000,136.6200,11.2864,1134.1958,18.3422
743,18267360463056927948428677625304937751224910455880258754101956286804897283712302738008734054914128737612116966576597192425904220346031320251948897720238770487339171450898058761085320796202655864476936623843180918675610738615628203684911490458522253502101072000319488.0000,18267360463056927948428677625304937751224910455880258754101956286804897283712302738008734054914128737612116966576597192425904220346031320251948897720238770487339171450898058761085320796202655864476936623843180918675610738615628203684911490458522253502101072000319488.0000,8.0000,109.2334,13.6542,-148844456572439808024315273812199608462291384574095248355931160308744457020441525510651492171615679650627382877607073242877399424697181318588334052377166213169951488679178594338495509746450538823695662796856799476344049907156091698572977385470650739134721681377984512.0000,FB,30.0000,1,138.7600,0.3000,108.7334,0.3000,30.0266,11.4165,1157.9108,18.9416
744,-30225499223796920180126510385497820621037986746414883772898696310941366862373103447139067514636471943363748622885463079768108893831611811222756900158309960573914669648320503239263120830805718779888733440704589547982737859957025462423304235895838196441762865224876032.0000,-30225499223796920180126510385497820621037986746414883772898696310941366862373103447139067514636471943363748622885463079768108893831611811222756900158309960573914669648320503239263120830805718779888733440704589547982737859957025462423304235895838196441762865224876032.0000,0.0000,0.0000,0.0000,245908398401294271976576576372332902322188340214999273814656205654302057450927741851523714066266383690245019343821975676345405154701453683955793338620501401471200076135525783847020932746444923304070037163037434678757651346703289310826883925928130378044971842902425600.0000,CP,30.0000,1,140.6800,0.3000,0.0000,0.0000,140.9800,11.5189,1176.7280,19.4221
745,42710084079148443555994517748159514841075207347354721608369202253835651950875656240304426551740588841961091807272175124901451105051950890259650594393158729881090202210715360474933526009471498325441158957542689014388531948416895450623837639031839426021705355934826496.0000,42710084079148443555994517748159514841075207347354721608369202253835651950875656240304426551740588841961091807272175124901451105051950890259650594393158729881090202210715360474933526009471498325441158957542689014388531948416895450623837639031839426021705355934826496.0000,8.0000,110.8051,13.8506,-346689649948745487266898502285568304011903629341060088254300818854589060096167200821449241984092565311435969910085228370011804889437897865548816363627456079688623688685516893501307360582680923610995878802054564976047725354850649734796705064194990769521265556282408960.0000,FB,30.0000,1,141.8400,0.3000,110.3051,0.3000,31.5349,11.5808,1188.1633,19.7161
746,-36611491186656087240915883971057683033666885865483208083602029326349781145250069841120469469486077766832927041941489999746353760050384948335389762257818855831737024141531870769192430232606193833182915593490986862012208939194330435479179309612801243621784893058449408.0000,-36611491186656087240915883971057683033666885865483208083602029326349781145250069841120469469486077766832927041941489999746353760050384948335389762257818855831737024141531870769192430232606193833182915593490986862012208939194330435479179309612801243621784893058449408.0000,0.0000,0.0000,0.0000,294396023032126473034906665241442533401579631305578682679877142833288020612813981875609952963386636817159594247152018894170778656467949081167207784136691817025816522709006718651872416954205213258584189148171084592674788480996474090241449843990930834077011431143768064.0000,CP,30.0000,1,142.2400,0.3000,0.0000,0.0000,142.5400,11.6021,1192.1181,19.8182
747,-58956251259489435253138545307814916444786123701599485485488428003734959887337609040472027942770990771107456510345475294114477984006579246645569025345936867998321329694036661930867168296286791772904992499742737693174738063868776579857679834379658802861206108079390720.0000,-58956251259489435253138545307814916444786123701599485485488428003734959887337609040472027942770990771107456510345475294114477984006579246645569025345936867998321329694036661930867168296286791772904992499742737693174738063868776579857679834379658802861206108079390720.0000,0.0000,0.0000,0.0000,491569031213252353744347346887021815992709045385367224981821921654369793098434902589003850623449134513094591169988244453950800263269917535274618933794499340290870981933170055244288214101948939997102224701875801787018865194663468539106829671629702739665557363726745600.0000,CP,30.0000,1,141.8400,0.3000,0.0000,0.0000,142.1400,11.5808,1188.1633,19.7161
748,471586315859968673484920260700834788818190883511332174606584439038538266469495570986460760651270855220703144035558937913056030945799210711784146818597714878692355934529595827420110919657875576426470957123483379194215897391040338931171125646751529529720842941630513152.0000,471586315859968673484920260700834788818190883511332174606584439038538266469495570986460760651270855220703144035558937913056030945799210711784146818597714878692355934529595827420110919657875576426470957123483379194215897391040338931171125646751529529720842941630513152.0000,8.0000,110.1723,13.7715,-3875909220895555128676117451032842240370885074970825287657548757498820658155079913077464608106142575003387489959920621839122976561420416106934709108942557844683020754279865809195784869188785791021173114471784138962949507212637270485459130820064774932595885831213809664.0000,FB,30.0000,1,140.6000,0.3000,109.6723,0.3000,30.9277,11.5147,1175.9412,19.4019
749,-1879312172573686826768334679106005277477539698050392089453318151117730512306057426585261434262651739107941848190949194762416172182754448731329260752922477696230525204311304659629072570550424391932368574707267535774040635464518833620585841630660216406266006997410250752.0000,-1879312172573686826768334679106005277477539698050392089453318151117730512306057426585261434262651739107941848190949194762416172182754448731329260752922477696230525204311304659629072570550424391932368574707267535774040635464518833620585841630660216406266006997410250752.0000,0.0000,0.0000,0.0000,15417214007509870792376818034116122706207650334939366286432116195264659587578766704618747814999240473224612752091350080308999011413723701236033254443660648742984837794183108814169172836789686212683089027276732344057121092249070748967107917783770465484875811799718428672.0000,CP,30.0000,1,138.6800,0.3000,0.0000,0.0000,138.9800,11.4123,1157.1297,18.9217
750,6120354436688581665636165274979951700725353055870948183990612578495093703200288094480075342531905172547527153787620344026090036309251132802274848253956381549697875001535639402495756506705450015457992742074833663029643956272581414878464873715872574346280074379152850944.0000,6120354436688581665636165274979951700725353055870948183990612578495093703200288094480075342531905172547527153787620344026090036309251132802274848253956381549697875001535639402495756506705450015457992742074833663029643956272581414878464873715872574346280074379152850944.0000,8.0000,109.4579,13.6822,-50129200841376817367620849212848251694385192955792719060988553802880937924648413893966219778617537866769169220736363860111748324144649127624522990676751496081652813198674754072884616349165494963010447453757480506758974147836665370153227808924516963144489240925128622080.0000,FB,30.0000,1,136.2000,3.3000,105.9579,3.3000,30.2421,11.4400,1162.2109,19.0510
751,-18468758749926748901227882378451485076061078692007659364366637484247085240480582920030230332257850154184997963965786634478911871059765677556785947800049199401257226297504097464925383320079209681776110627087343242458163934899354151223708506351813602552633883900919152640.0000,-18468758749926748901227882378451485076061078692007659364366637484247085240480582920030230332257850154184997963965786634478911871059765677556785947800049199401257226297504097464925383320079209681776110627087343242458163934899354151223708506351813602552633883900919152640.0000,0.0000,0.0000,0.0000,151413077658262444102712682363012518884841668651734881974385922376220941148422054877769637662478384742748877387479795581416584161273056169243717210401301355836171920902463773430829243117368301694550672985319274938596896725305568138553494193760753179713058937167142715392.0000,CP,30.0000,1,133.2800,3.3000,0.0000,0.0000,136.5800,11.2843,1133.8089,18.3324
752,53673151532407065950848520130621704014326321000194568773877887550797385113155879714269651233883042629713158324872212735327961098406155202080595861031985459108225253300518227639863652843269628012806742029820624821597605444372068793967286186668283951359865725860758683648.0000,53673151532407065950848520130621704014326321000194568773877887550797385113155879714269651233883042629713158324872212735327961098406155202080595861031985459108225253300518227639863652843269628012806742029820624821597605444372068793967286186668283951359865725860758683648.0000,8.0000,104.8449,13.1056,-440951605282898629484169951188041924058317958614002879175926064220542824419065106830981067732889465473308015312576410134774934241135410735902972034382229920727039802293104109448633788985777268865557746172439480580561127473487344127284319391732031847998697034890658971648.0000,FB,30.0000,1,130.1600,0.3000,104.3449,0.3000,25.8151,10.9579,1075.3166,16.8838
753,-148749913161956909246708824425532029547064088990424067469562208433334367379289340991455478757293973696855894286356645177856649756247421525609997511499536862428628164244557524691591712129416654020688778831803615015849552561862652780824145245837457356747064708375768989696.0000,-148749913161956909246708824425532029547064088990424067469562208433334367379289340991455478757293973696855894286356645177856649756247421525609997511499536862428628164244557524691591712129416654020688778831803615015849552561862652780824145245837457356747064708375768989696.0000,0.0000,0.0000,0.0000,1222297530343706503350380156403147449581515887546267446315754284793533337969779947051973786458653239794224381580453973579354359216245448643006511511390676408114892045555485149102964024671029302707916723595589958934951213794264815287762414879805016974130097556310793912320.0000,CP,30.0000,1,127.0400,0.3000,0.0000,0.0000,127.3400,10.7915,1046.0380,16.1746
754,401126538487439480534385097938105225597906829561559248408924400147756137978405436006723531426550801273833150291405476437141762017501754868876414038403461687397897591995969895444715792422027246421078665042684682833996437018079657897690551565206852263861747715712193921024.0000,401126538487439480534385097938105225597906829561559248408924400147756137978405436006723531426550801273833150291405476437141762017501754868876414038403461687397897591995969895444715792422027246421078665042684682833996437018079657897690551565206852263861747715712193921024.0000,8.0000,101.7627,12.7203,-3299054174975287060849687903514367385561683563979760607961437656634826047709721640692811348505973279068493861971584101157017800225127986830597170280424916229489527110932036559271474560032478665744585019487126147874727284766633654830131036697997549344045887201818158563328.0000,FB,30.0000,1,124.1200,0.3000,101.2627,0.3000,22.8573,10.6357,1018.9682,15.5287
755,-1058573563355636789016562435195188090272097202358183772743248927221812980469160214949454841868086142961484079480041721566007870758385225398834125727946330377683545779294622210288587704281846941863664088286178145778565744981992321444137783006207357536997811798874028769280.0000,-1058573563355636789016562435195188090272097202358183772743248927221812980469160214949454841868086142961484079480041721566007870758385225398834125727946330377683545779294622210288587704281846941863664088286178145778565744981992321444137783006207357536997811798874028769280.0000,0.0000,0.0000,0.0000,8711626051400571962685858827340581696875639575896536319587802463961612901527697274824449645108170364183077300459719065143742292915257681406462892128662490620072068348537419537703831823355783898201996689080894669621658397592889115117932198898418266395295612032285644161024.0000,CP,30.0000,1,121.6400,0.3000,0.0000,0.0000,121.9400,10.5035,996.2302,14.9934
756,2742374268663764772311766821175180121144150843869029280369783169134343148586605113995977056727906855005761958658395033756228435939683550696184690273828484588878027686196775340294723713666710142927176574017410233147473647633843015999930088493331433652017874477075507707904.0000,2742374268663764772311766821175180121144150843869029280369783169134343148586605113995977056727906855005761958658395033756228435939683550696184690273828484588878027686196775340294723713666710142927176574017410233147473647633843015999930088493331433652017874477075507707904.0000,8.0000,99.5174,12.4397,-22579519602679860205091570691390239644165527995405049034385584195758813239739261928615412130589997327800761670382834577007744847719488047004047869095488146465088130508258362678708486687040972560345515785966701447795951106115291170115543189284817756983569111617018429177856.0000,FB,30.0000,1,119.7200,0.3000,99.0174,0.3000,20.7026,10.4011,978.7862,14.5872
757,-6988545605197807585257663002279910777216875618607836107699688743525393103538206133696039712308715061450392378439230800635690731126910032380605405336302114526145075618097673856145022710160515517310095486262314944412052138192300435396229591254260111692476587500265835331584.0000,-6988545605197807585257663002279910777216875618607836107699688743525393103538206133696039712308715061450392378439230800635690731126910032380605405336302114526145075618097673856145022710160515517310095486262314944412052138192300435396229591254260111692476587500265835331584.0000,0.0000,0.0000,0.0000,57552272088436284695145470076280261549516887077004390177371773095463161835100877483035518494542113639458786625138691024604466661609071284926165690664480038116889210961021191006667865039777797820036418140241486077029843421707753671573911787437640997143577902002811120386048.0000,CP,30.0000,1,118.5200,0.3000,0.0000,0.0000,118.8200,10.3371,967.9546,14.3370
758,17550606730282504733528610679088692026514067481910879983859360895294992458499779584315979999943654693010456664982754424792983663610595396104933230586287099622342985878309980841242674178740023502829743375410830586131831913493735194388765162519433703698091924665112121573376.0000,17550606730282504733528610679088692026514067481910879983859360895294992458499779584315979999943654693010456664982754424792983663610595396104933230586287099622342985878309980841242674178740023502829743375410830586131831913493735194388765162519433703698091924665112121573376.0000,8.0000,98.6805,12.3351,-144524055875299831404362537063566458392369285722290559510692476097201186519217832353919418107711778662453417875718285632914256374629745598545161063602367956952727153266723032337674321360290148694390391392037590061416656283931983193842876552579256385747669160044625074847744.0000,FB,30.0000,1,118.0800,0.3000,98.1805,0.3000,19.8995,10.3136,963.9967,14.2460
759,-43490939537083160464908451960659334928624367675929370581930060121163469776759288114208787000856805993920863662410578403678571167504335799809126340421465517967747700770608871556547137922470320785594072752754169253246737186795112505575403186188072361231519326351575891312640.0000,-43490939537083160464908451960659334928624367675929370581930060121163469776759288114208787000856805993920863662410578403678571167504335799809126340421465517967747700770608871556547137922470320785594072752754169253246737186795112505575403186188072361231519326351575891312640.0000,0.0000,0.0000,0.0000,357997451636375960873750007621781523275691180205649042279354406759118472950173081900303185708203820808669751077997636980064088243794216815943181629370211626733666185299535121248029018716338758374661770278591456562936306891574376832046573016480845077595886476120605499326464.0000,CP,30.0000,1,118.4800,0.3000,0.0000,0.0000,118.7800,10.3349,967.5945,14.3287
